Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Shape
2.993815571901134,11.924771082823497,17.59447478063289,15.17525356899133,-31.644065331421007,-21.17110265588916,31.80711403438072,Circle
2.9930003493278985,11.936908508783548,18.06704362180404,14.259010392911122,-30.430734306479852,20.821544183785743,31.12506610485988,Circle
2.995037280295651,12.145572996196442,16.582601673697436,14.311526645688929,-29.836464053007184,20.557324653940572,-30.01904806855063,Circle
2.9946660477067235,12.007652416246437,16.625818620226475,14.211056428999152,-29.73687843516511,20.252943286403145,-29.833884407432354,Circle
2.9952320126909604,12.025336135302652,16.034037654116805,14.525323793684606,-29.814878398454038,-20.60686607869342,30.481055967386823,Circle
2.993792829518496,12.160125217659417,16.065229905392957,14.012349420572596,29.14269283525058,21.55689049063962,29.282849047484596,Circle
2.993851289744426,11.7468316565014,16.491154679670284,14.575592721652505,30.14868677037284,-20.835212905920965,30.497394582267386,Circle
2.96903205431352,10.879001796031217,16.51449018052633,14.956663514195396,-30.74869042919118,-20.582504989763027,31.01239921045576,Circle
2.9091866400932083,12.054506682850224,15.724871839124448,14.717156275804594,-30.018744310457848,-20.745445527886748,30.19249277488942,Circle
2.8815524129960024,11.202495203580597,15.464332853672405,13.403513745950631,-28.002392387366076,19.074328186970224,-27.974412400506402,Circle
2.910830784943138,12.850785523566461,16.468863057363826,13.27741880313624,-28.651438998472067,20.1817629462584,-28.173341001954913,Circle
2.928059216061953,10.707992660732891,18.465378749058456,13.145385850240608,29.35407035127639,19.126703749814475,-28.987621980757776,Circle
2.9236970818563246,11.943879926864348,15.854151425995095,13.882808592632411,29.38779207542879,-19.90297158295257,28.7631898994272,Circle
2.9289169051360178,11.10859015094924,15.73185398389314,13.688324639051693,29.46116038284348,-19.246172718127323,28.400046600469004,Circle
2.929882457322243,11.133951548296121,15.491142068939867,13.902260601286482,28.60812892090511,-19.87545277906396,29.290793213525312,Circle
2.924698460007381,10.963699011916933,17.692617558162485,13.406618284158384,-30.439084883443456,-18.96267786151569,28.95647132666495,Circle
2.9257472842808134,10.720463117615877,15.601454091167472,14.410813192782648,30.25372077581201,-20.72757506299616,-29.42160111360493,Circle
2.936906553064575,10.46978808762089,18.034667048160376,13.873120735359619,-30.18317685440649,-19.37660024622908,29.873831922977548,Circle
2.955385212690303,10.455563781492838,16.68489621396883,14.019825435810858,29.48038437149649,20.5954892437743,-29.575310933084502,Circle
2.9726795755357593,10.563483315050421,15.922276695767568,13.849972665758445,-29.644034855021776,-19.444492135401884,28.73944097981903,Circle
2.9822289964341215,10.530021201188603,17.58595648214317,14.537818296357173,-30.886378519061175,-19.816970275996606,-30.667179761545416,Circle
